#,Display Name,YT Subscribers,Source,Type,Sells,Country,Cadence,Last Upload (days),Email,IG Account,YT Channel
39,Lauralie Chapados,122000,vlog/fitness,solo,,United States,weekly,0,Email in YouTube Bio,https://www.instagram.com/lauraliechap/,https://www.youtube.com/@LauralieChapadosIFBBPro
40,Chews to Explore,124000,travel,unclear,,United States,weekly,3,Email in YouTube Bio,,https://www.youtube.com/@ChewsToExplore
41,Mica Rivera Wood,75400,vlog/fitness,solo,,,monthly,61,Email in YouTube Bio,https://www.instagram.com/thewoodsrun/,https://www.youtube.com/@micawoodruns
42,We're in the Rockies,125000,travel,solo,,United States,weekly,2,Email in YouTube Bio,https://www.instagram.com/wereintherockies/,https://www.youtube.com/@WereintheRockies
43,Cobra Scalez,125000,vlog/fitness,solo,community,,monthly,4,,https://www.instagram.com/cobrasthenics/,https://www.youtube.com/@cobrascalez
44,Wayne Algenio,74900,vlog/fitness,solo,,United States,weekly,1,Email in YouTube Bio,http://instagram.com/wayneywonder29,https://www.youtube.com/@WayneAlgenio
45,Cyndi Williams,74400,agency,business,,United States,weekly,3,Email in YouTube Bio,https://www.instagram.com/wanderlustceo/,https://www.youtube.com/@wanderlustceo
46,Jordan Bauth,126000,travel,solo,,United States,weekly,0,Email in YouTube Bio,http://www.instagram.com/jbauth,https://www.youtube.com/@jbauth
47,Coolist,128000,travel,solo,,United States,biweekly,13,Email in YouTube Bio,https://instagram.com/james.coolist,https://www.youtube.com/@Coolist
48,Emily English,72000,vlog/fitness,solo,,United Kingdom,biweekly,3,Email in YouTube Bio,https://www.instagram.com/emthenutritionist,https://www.youtube.com/@emthenutritionist
49,Andi Renay,128000,vlog/fitness,solo,,,biweekly,30,,,https://www.youtube.com/@andirenay
50,Griff & Alyssa,129000,travel,solo,,United States,weekly,9,Email in YouTube Bio,https://instagram.com/griffandalyssa,https://www.youtube.com/@GriffandAlyssa
51,Michelle Roots Fitness & Nutrition Coach,129000,vlog/fitness,solo,,Canada,biweekly,3,Email in YouTube Bio,http://www.instagram.com/michellerootsfit,https://www.youtube.com/@MichelleRoots
52,Holly Brooks,131000,vlog/fitness,solo,,,weekly,0,Email in YouTube Bio,https://www.instagram.com/p/CRbBzd6Bc3y/,https://www.youtube.com/@hollyjobrooks
53,Roots in the Wild,132000,vlog/fitness,solo,membership,United Kingdom,weekly,2,Email in YouTube Bio,https://www.instagram.com/jessicakleczka/,https://www.youtube.com/@Roots-In-The-Wild
54,Justin Medeiros,65700,vlog/fitness,unclear,,,weekly,2,,,https://www.youtube.com/@JustinMedeiros34
55,Ultimate Bucket List,135000,travel,solo,,United Kingdom,biweekly,61,Email in YouTube Bio,https://www.instagram.com/ninhlyuk/,https://www.youtube.com/@UltimateBucketList
56,The Sanbrooke Adventures,136000,travel,solo,,United Kingdom,weekly,5,Email in YouTube Bio,https://www.instagram.com/thesanbrookeadventureschannel/,https://www.youtube.com/@TheSanbrookeAdventures
57,Sophie Nadeau,136000,travel,solo,,United Kingdom,weekly,1,Email in YouTube Bio,https://www.instagram.com/sophieannenadeau,https://www.youtube.com/@SophieNadeau
58,PP: Passport Pages,138000,travel,solo,,United States,biweekly,1,Email in YouTube Bio,https://www.instagram.com/passportpagestravel,https://www.youtube.com/@Passport_Pages
59,BPN,138000,vlog/fitness,business,,United States,weekly,9,Email in YouTube Bio,https://www.instagram.com/bpnsupps/,https://www.youtube.com/@bpnsupps
60,MoreMozi,138000,vlog/fitness,unclear,,United States,weekly,0,,,https://www.youtube.com/@MoreMozi
61,Mana,139000,vlog/fitness,solo,,Canada,biweekly,8,,,https://www.youtube.com/@ManaVlogs_yt
62,Team Charles-Barclay,139000,vlog/fitness,solo,,United Kingdom,monthly,3,,https://www.instagram.com/hollycharlesphotography_,https://www.youtube.com/@LucyCharlesBarclay
63,Celine ♡,60700,vlog/fitness,solo,"membership, storefront, own site",Canada,weekly,7,Email in YouTube Bio,http://instagram.com/celinelikedion,https://www.youtube.com/@Celinelikedion
64,The Cartwrights,140000,travel,solo,,Australia,biweekly,13,Email in YouTube Bio,https://www.instagram.com/cartwright.company,https://www.youtube.com/@thecartwrights
65,Lisa Mthembu,58800,vlog/fitness,unclear,,,monthly,21,,,https://www.youtube.com/@lisa_mthembu
66,Crystal Park,58800,vlog/fitness,solo,,,biweekly,2,Email in YouTube Bio,https://www.instagram.com/crystalpaark/,https://www.youtube.com/@crystalpark
67,Eat See TV,142000,travel,solo,,United States,biweekly,0,Email in YouTube Bio,https://www.instagram.com/EatSeeTV/,https://www.youtube.com/@EatSeeTV
