#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
34,Cal,Email in YouTube Bio,https://www.youtube.com/@thebangkokguide,107000,solo,yes,Canada,weekly,6,22,https://www.instagram.com/ajarncal/,,,,,ok
35,Ed Chapman,Email in YouTube Bio,https://www.youtube.com/@EdChapman23,149000,solo,no,United Kingdom,weekly,0,12,https://instagram.com/edchapman23,,,,,off_niche
36,Walk With Me Tim,Email in YouTube Bio,https://www.youtube.com/@WalkWithMeTim,1050000,solo,yes,United Kingdom,weekly,1,14,https://www.instagram.com/walkwithmetim,,,,,ok
37,Walk With Niamh,Email in YouTube Bio,https://www.youtube.com/@WalkWithNiamh,5770,solo,yes,United Kingdom,inactive,152,0,,,,,,below_min_subscribers
38,This Is Our Retirement,,https://www.youtube.com/@ThisIsOurRetirement,117000,unclear,yes,Canada,weekly,1,11,,,,,,ok
39,The hotel & hunter,,https://www.youtube.com/@Thehotelandtakeawayhunter,16100,solo,yes,,monthly,14,3,,,,,,below_min_subscribers
40,Travelly Man,Email in YouTube Bio,https://www.youtube.com/@travellyman,4800,solo,yes,United Kingdom,biweekly,30,7,https://www.instagram.com/travelly_man/,,,,,below_min_subscribers
41,WorldWide Dom,Email in YouTube Bio,https://www.youtube.com/@WorldWide_Dom,34300,solo,yes,United Kingdom,weekly,2,13,https://www.instagram.com/world_wide_dom/,,,,,below_min_subscribers
42,Johnnyfied,Email in YouTube Bio,https://www.youtube.com/@johnnyfied1,4720,solo,yes,United Kingdom,inactive,91,0,,,,,,below_min_subscribers
43,OnBoardHD,Email in YouTube Bio,https://www.youtube.com/@OnBoardHD,163000,unclear,yes,Spain,biweekly,2,6,,,,,,wrong_country
44,The Uncharted Family,Email in YouTube Bio,https://www.youtube.com/@TheUnchartedFamily,209000,unclear,yes,,biweekly,14,8,,,,,,ok
45,Wales Adventures,Email in YouTube Bio,https://www.youtube.com/@Walesadventures,2260,solo,yes,United Kingdom,weekly,3,14,https://www.instagram.com/wales.adventures?igsh=MWlyc251dnU0ZGM3YQ==,,,,,below_min_subscribers
46,8Ball Adventures,,https://www.youtube.com/@8Ball-adventures,216,solo,yes,United Kingdom,monthly,3,4,https://www.instagram.com/8.ball_adventures?igsh=MXBjYXIzaDR3cjFweg==&utm_source=qr,,,,,below_min_subscribers
47,Jazzy In Transit,,https://www.youtube.com/@JazzyinTransit,629,solo,yes,,sporadic,30,1,,,,,,below_min_subscribers
48,"Zach, Rach & Life",Email in YouTube Bio,https://www.youtube.com/@zachrachandlife,1260,solo,yes,United Kingdom,biweekly,3,6,https://www.instagram.com/zachrachandlife/,,,,,below_min_subscribers
49,Wandering and Beyond,Email in YouTube Bio,https://www.youtube.com/@WanderingandBeyond,5890,solo,yes,United Kingdom,weekly,2,29,https://www.instagram.com/wanderingandbeyond/,,,,,below_min_subscribers
50,Dad Life - Parent Humour and Family Travel,Email in YouTube Bio,https://www.youtube.com/@dadlifewithriver,21800,solo,yes,United Kingdom,dormant,183,0,https://www.instagram.com/dadlifewithriver/,,,,,below_min_subscribers
51,Oliver Scott,,https://www.youtube.com/@oliverscott4865,761,unclear,no,,dormant,1826,0,,,,,,below_min_subscribers
52,Lee Hale,,https://www.youtube.com/@kayleighhale,2,unclear,no,,dormant,4018,0,,,,,,below_min_subscribers
53,Life With Kaz,,https://www.youtube.com/@lifewithkaz4130,709,solo,yes,,weekly,1,30,https://www.instagram.com/lifewithkaz/,,,,,below_min_subscribers
54,FitChickGlows,Email in YouTube Bio,https://www.youtube.com/@FitChickGlows,389,solo,no,Canada,dormant,365,0,https://www.instagram.com/fitchickglows/,,,,,below_min_subscribers
55,Vloggy Travels,Email in YouTube Bio,https://www.youtube.com/@vloggytravels,388,solo,yes,United Kingdom,dormant,730,0,https://www.instagram.com/thechilloutflightchannel/,,,,,below_min_subscribers
56,Our perspective,,https://www.youtube.com/@FamilyPerspective,40,solo,no,United Kingdom,dormant,304,0,,,,,,below_min_subscribers
57,"POUR THE WINE, IT'S ROM-COM TIME",Email in YouTube Bio,https://www.youtube.com/@POURTHEWINEITSROMCOMTIME,258,solo,no,United States,weekly,2,30,https://www.instagram.com/pourthewineitsromcomtime/,,,,,below_min_subscribers
58,Who Knows Where,Email in YouTube Bio,https://www.youtube.com/@whoknowswhere,29500,solo,yes,United Kingdom,weekly,1,30,https://www.instagram.com/whoknowswhere11/,,,,,below_min_subscribers
59,Jake,Email in YouTube Bio,https://www.youtube.com/@LegoJakeProductions,174,solo,no,United Kingdom,biweekly,5,9,,,,,,below_min_subscribers
60,steve and carole vano,Email in YouTube Bio,https://www.youtube.com/@steveandcarole,22400,solo,yes,United Kingdom,weekly,0,30,https://instagram.com/steveandcarolevano?igshid=OGQ5ZDc20DK2ZA==,,,,,below_min_subscribers
61,Flight Formula,Email in YouTube Bio,https://www.youtube.com/@FlightFormula,79100,solo,yes,Australia,biweekly,11,6,https://www.instagram.com/simondean.xyz/,,,,,below_min_subscribers
62,Cassie Aran,,https://www.youtube.com/@Cassiearan,173000,solo,no,United States,biweekly,14,6,"https://www.instagram.com/This is the WORST electric car that we could find to take on a 500 mile road trip around Italy. It's not meant to leave the main city of Rome because NO ONE would do this due to its INSANE inconveniences. It's top speed is 25 miles an hour so you can only go on back roads and EVERYONE will pass you. It has no AC and only two tiny push windows so it is HOT at all times. If it rains, you have to pull over because all the windows will fog up and there is nothing you can do about it. And incase it couldn't get any worse, it only lasts up to 40 miles on a charge..but if you hit and mountains or elevation..you can expect to get A LOT less.

All Links in One Spot!: https://linktr.ee/cassiearan

Tiktok:
https://www.tiktok.com/@cassiearan?lang=en

Instagram:    
https://www.instagram.com/cassie.aran/?hl=en

Socks & Shirts to Save Animals: www.theearsocks.com

WISH US LUCK!",,,,,off_niche
63,Lakemaker,Email in YouTube Bio,https://www.youtube.com/@lakemaker,5930,solo,no,Canada,dormant,244,0,https://www.instagram.com/andrewlakemaker/,,,,,below_min_subscribers
64,3 Days 3 Noches,Email in YouTube Bio,https://www.youtube.com/@3Days3Noches,57700,unclear,yes,United States,biweekly,6,9,,,,,,below_min_subscribers
65,Coolist,Email in YouTube Bio,https://www.youtube.com/@Coolist,128000,solo,yes,United States,biweekly,13,5,https://instagram.com/james.coolist,,,,,ok
66,VIP Travel,Email in YouTube Bio,https://www.youtube.com/@VIP_Travel,9050,unclear,yes,United States,dormant,304,0,,,,,,below_min_subscribers
67,Explorcation,Email in YouTube Bio,https://www.youtube.com/@Explorcation,92200,solo,yes,United States,biweekly,9,9,https://www.instagram.com/explor_cation,,,,,ok
68,All Inclusive Reviews,Email in YouTube Bio,https://www.youtube.com/@AllInclusiveReviews,14200,unclear,yes,United States,inactive,91,0,,,,,,below_min_subscribers
69,GoTime Travels,Email in YouTube Bio,https://www.youtube.com/@GoTimeTravels,116000,solo,yes,Ireland,weekly,3,11,https://www.instagram.com/gotimetravels/,,,,,ok
70,The Wanderlust Way,Email in YouTube Bio,https://www.youtube.com/@TheWanderlustWayisback,39200,solo,yes,United Kingdom,weekly,1,15,https://www.instagram.com/the.wanderlustway/,,,,,below_min_subscribers
71,Travel Dash,Email in YouTube Bio,https://www.youtube.com/@TheTravelDash,3290,solo,yes,United Kingdom,weekly,1,18,https://www.instagram.com/traveldashofficial,,,,,below_min_subscribers
72,Deanalex,,https://www.youtube.com/@Deanalex7,85100,unclear,yes,,weekly,1,15,,,,,,ok
73,DannyVlogsTravels,,https://www.youtube.com/@dannyvlogstravels,11100,solo,yes,United Kingdom,weekly,1,25,https://www.instagram.com/dannyvlogstravels/,,,,,below_min_subscribers
74,TravelTime,Email in YouTube Bio,https://www.youtube.com/@travelTimeAdventures,12800,unclear,yes,United States,weekly,4,21,,,,,,below_min_subscribers
75,Strictly Dumpling,Email in YouTube Bio,https://www.youtube.com/@strictlydumpling,4290000,solo,no,United States,weekly,0,21,https://www.instagram.com/mikexingchen,,,,,off_niche
76,Mike Chen Clips & BEST Eats,,https://www.youtube.com/@strictlydumplingshorts,135000,unclear,no,United States,weekly,1,30,,,,,,off_niche
77,Griff & Alyssa,Email in YouTube Bio,https://www.youtube.com/@GriffandAlyssa,129000,solo,yes,United States,weekly,9,11,https://instagram.com/griffandalyssa,,,,,ok
78,The Lovers Passport,Email in YouTube Bio,https://www.youtube.com/@TheLoversPassport,102000,solo,yes,United States,weekly,2,13,https://www.instagram.com/theloverspassport,,,,,ok
79,Dany Dev,Email in YouTube Bio,https://www.youtube.com/@Danygotaworldtosee,437000,solo,no,,monthly,14,3,https://www.instagram.com/danydevv/,,,,,off_niche
80,Tourist Kat,,https://www.youtube.com/@TouristKate,1840,unclear,yes,Türkiye,monthly,10,3,,,,,,below_min_subscribers
81,Check In - Klaudia i Michał,Email in YouTube Bio,https://www.youtube.com/@CheckInKlaudiaiMicha%C5%82,73200,solo,no,Poland,weekly,1,13,https://www.instagram.com/check_in_klaudia_i_michal,,,,,below_min_subscribers
82,Lusher Life,Email in YouTube Bio,https://www.youtube.com/@LouiseUsher,13700,solo,yes,United Kingdom,monthly,61,2,http://www.instagram.com/lusher.life,,,,,below_min_subscribers
83,Katie Lynn Hopkins,Email in YouTube Bio,https://www.youtube.com/@Katieehopkins,21500,solo,yes,United Kingdom,weekly,0,13,https://www.instagram.com/katie.hopkins_x,,,,,below_min_subscribers
84,360frankie,,https://www.youtube.com/@360frankie,246,solo,no,,sporadic,30,1,,,,,,below_min_subscribers
85,Kyle Pallo,Email in YouTube Bio,https://www.youtube.com/@KylePalIo,251000,solo,yes,United States,weekly,0,30,http://instagram.com/kylepallo,,,,,ok
86,Mammoth Club,,https://www.youtube.com/@Mammoth_Club,307000,unclear,yes,United States,weekly,1,30,,,,,,ok
87,Nick and Carmen,,https://www.youtube.com/@nickandcarmen3885,861,unclear,yes,United States,inactive,152,0,,,,,,below_min_subscribers
88,Ryan Trahan,Email in YouTube Bio,https://www.youtube.com/@ryan,23700000,solo,no,United States,biweekly,30,6,http://www.instagram.com/ryantrahan,,,,,off_niche
89,Miss Mary Mak,Email in YouTube Bio,https://www.youtube.com/@MissMaryMak,1270,unclear,yes,United Kingdom,monthly,61,2,https://www.instagram.com/miss_mary_mak/,,,,,below_min_subscribers
90,David X Las Vegas,Email in YouTube Bio,https://www.youtube.com/@DavidXLasVegas,9400,unclear,no,United States,inactive,152,0,,,,,,below_min_subscribers
91,Yellow Productions,Email in YouTube Bio,https://www.youtube.com/@YellowProductions,434000,solo,yes,United States,weekly,0,30,https://www.instagram.com/yellowwproductions/,,,,,ok
92,Lauri Pesur,Email in YouTube Bio,https://www.youtube.com/@LauriPesur,1150,solo,no,United Kingdom,biweekly,30,7,,,,,,below_min_subscribers
93,The Resort Report,,https://www.youtube.com/@TheResortReportReviews,672,unclear,yes,United Kingdom,monthly,30,3,,,,,,below_min_subscribers
94,HeatherTravelsXO,Email in YouTube Bio,https://www.youtube.com/@HeatherTravelsXO,33400,business,yes,United States,monthly,13,3,https://www.instagram.com/heatherstylesxo/,,,,,below_min_subscribers
95,ellieV,Email in YouTube Bio,https://www.youtube.com/@ellieV,2980000,solo,no,Australia,weekly,1,30,https://www.instagram.com/elliev_yt/,,,,,wrong_country
96,Holt & Ashley,Email in YouTube Bio,https://www.youtube.com/@HoltandAshley,28400,solo,yes,United States,inactive,152,0,,,,,,below_min_subscribers
97,Travel Lemming,Email in YouTube Bio,https://www.youtube.com/@TravelLemming,7490,solo,yes,United States,biweekly,30,9,https://www.instagram.com/travellemming/,,,,,below_min_subscribers
98,Up Up & Our Way,Email in YouTube Bio,https://www.youtube.com/@UpUpOurWay,56000,solo,yes,United States,weekly,2,11,https://www.instagram.com/upupandourway,,,,,below_min_subscribers
99,Hannah Ricketts,Email in YouTube Bio,https://www.youtube.com/@HannahRicketts,506000,unclear,yes,United Kingdom,weekly,3,26,,,,,,ok
100,Pursuit For Adventure,Email in YouTube Bio,https://www.youtube.com/@pursuitforadventure,3310,solo,yes,Canada,weekly,2,10,https://www.instagram.com/pursuit_for_adventure/,,,,,below_min_subscribers
101,The Shiplife,Email in YouTube Bio,https://www.youtube.com/@JSHIPLIFE,346000,solo,yes,United States,weekly,4,25,https://www.instagram.com/theshiplife__official/,,,,,ok
102,Eat Sleep Cruise,Email in YouTube Bio,https://www.youtube.com/@Eatsleepcruise1,170000,solo,yes,United States,weekly,1,12,https://instagram.com/eatsleepcruise,,,,,ok
103,Bright Sun Travels,Email in YouTube Bio,https://www.youtube.com/@BrightSunTravels,353000,solo,yes,Canada,monthly,14,3,https://www.instagram.com/jakerosswilliams/,,,,,ok
104,Lexie Limitless,Email in YouTube Bio,https://www.youtube.com/@LexieLimitless,751000,solo,yes,United States,monthly,21,2,https://www.instagram.com/lexielimitless/,,,,,ok
105,Cruise Insider,,https://www.youtube.com/@CruiseInsider,60100,unclear,yes,Argentina,weekly,5,10,,,,,,below_min_subscribers
106,Simon Wilson,Email in YouTube Bio,https://www.youtube.com/@SimonWilson12,2140000,solo,no,United Kingdom,monthly,30,3,https://www.instagram.com/simonjwils/,,,,,off_niche
107,Ritzy Travel Guide,Email in YouTube Bio,https://www.youtube.com/@ritzytravelguide,104000,solo,yes,United Kingdom,biweekly,3,7,https://www.instagram.com/ritzytravelguide,,,,,ok
108,Trek Trendy,Email in YouTube Bio,https://www.youtube.com/@Trektrendy,1440000,solo,yes,United Kingdom,monthly,8,4,https://www.instagram.com/trektrendy,,,,,ok
109,Jordan Bauth,Email in YouTube Bio,https://www.youtube.com/@jbauth,126000,solo,yes,United States,weekly,0,27,http://www.instagram.com/jbauth,,,,,ok
110,Cruise With Ben and David,Email in YouTube Bio,https://www.youtube.com/@Cruisewith,341000,solo,yes,United Kingdom,weekly,1,10,https://www.instagram.com/itsbenanddavid,,,,,ok
111,Cruiser Travels,Email in YouTube Bio,https://www.youtube.com/@CruiserTravels,8600,business,yes,United States,monthly,14,3,https://www.instagram.com/cruisertravels/,,,,,below_min_subscribers
112,Hoffman Happy Travels,Email in YouTube Bio,https://www.youtube.com/@HoffmanHappyTravels,30600,business,yes,United States,weekly,8,11,https://www.instagram.com/hoffman.happy.travels/,,,,,below_min_subscribers
113,See More Seas Cruises!,Email in YouTube Bio,https://www.youtube.com/@seemoreseascruises3791,16300,business,yes,United States,monthly,3,4,,,,,,below_min_subscribers
114,Brogan Tate,Email in YouTube Bio,https://www.youtube.com/@brogantatexo,154000,solo,yes,United Kingdom,weekly,0,14,https://instagram.com/brogantatexo,,,,,ok
115,Paris Hedger,Email in YouTube Bio,https://www.youtube.com/@ParisHedger,14700,solo,yes,Australia,dormant,335,0,https://www.instagram.com/parishedger/?hl=en,,,,,below_min_subscribers
116,Georgia Skye,,https://www.youtube.com/@georgiaskye5542,2520,unclear,yes,United Kingdom,biweekly,28,5,,,,,,below_min_subscribers
117,The Sanbrooke Adventures,Email in YouTube Bio,https://www.youtube.com/@TheSanbrookeAdventures,136000,solo,yes,United Kingdom,weekly,5,21,https://www.instagram.com/thesanbrookeadventureschannel/,,,,,ok
118,Lily Pritchett,,https://www.youtube.com/@Lifewithlils07,195,unclear,yes,,biweekly,4,8,,,,,,below_min_subscribers
119,Raley Adventures,Email in YouTube Bio,https://www.youtube.com/@raleyadventures,1900,solo,no,United Kingdom,weekly,6,12,https://www.instagram.com/raleyadventures,,,,,below_min_subscribers
120,Life Well Cruised,Email in YouTube Bio,https://www.youtube.com/@LifeWellCruised,516000,solo,yes,Canada,weekly,1,30,https://www.instagram.com/lifewellcruised/,,,,,ok
121,MH Family Adventures (Cruise Travel),Email in YouTube Bio,https://www.youtube.com/@MHFamilyAdventures,42700,solo,yes,United States,weekly,1,20,https://www.instagram.com/mhfamilyadventures/,,,,,below_min_subscribers
122,LifeWithUsTV,Email in YouTube Bio,https://www.youtube.com/@LifeWithUsTV,161000,business,yes,United States,weekly,1,11,https://instagram.com/codefuntravels,,,,,looks_like_business
123,Stress Free Cruising,Email in YouTube Bio,https://www.youtube.com/@PetwayTravel,2430,unclear,no,United States,biweekly,1,6,,,,,,below_min_subscribers
124,The Traveling Talls,Email in YouTube Bio,https://www.youtube.com/@thetravelingtalls,3220,solo,yes,United States,monthly,30,2,,,,,,below_min_subscribers
125,Cruise Compass,,https://www.youtube.com/@CruiseCompass25,31300,unclear,yes,United States,weekly,2,16,,,,,,below_min_subscribers
126,Hannah and Martin On The Globe,,https://www.youtube.com/@HannahandMartinOnTheGlobe,2740,unclear,yes,United Kingdom,weekly,3,19,,,,,,below_min_subscribers
127,channonmooney,,https://www.youtube.com/@channonmooney,117000,unclear,no,United Kingdom,weekly,8,17,,,,,,off_niche
128,2Passports 1Dream,Email in YouTube Bio,https://www.youtube.com/@2Passports1Dream,298000,solo,yes,United Kingdom,weekly,2,13,https://www.instagram.com/2passports1dream,,,,,ok
129,Emms Tv,,https://www.youtube.com/@Immaculatemicheals,1760,solo,no,Austria,dormant,274,0,https://www.instagram.com/emms_tv/?hl=en,,,,,below_min_subscribers
130,DROPOUTS,Email in YouTube Bio,https://www.youtube.com/@DROPOUTSUK,274000,unclear,no,United Kingdom,biweekly,9,6,https://www.instagram.com/dropoutsinsta,,,,,off_niche
131,TraveLike,,https://www.youtube.com/@TraveLike,34000,solo,yes,Poland,monthly,30,2,https://www.instagram.com/travelike.ada,,,,,below_min_subscribers
132,Jumping Places,Email in YouTube Bio,https://www.youtube.com/@JumpingPlaces,489000,solo,yes,United States,weekly,2,14,https://www.instagram.com/jumpingplaces,,,,,ok
133,Rebecca Hobson,Email in YouTube Bio,https://www.youtube.com/@mrsrebeccahobson,111000,solo,yes,United Kingdom,monthly,30,3,https://www.instagram.com/mrsrebeccahobson,,,,,ok
134,Leila Hannoun,Email in YouTube Bio,https://www.youtube.com/@Leilahannoun,53200,solo,no,United Kingdom,weekly,0,10,https://www.instagram.com/abcdefghijkleila_/?hl=en,,,,,below_min_subscribers
135,Chloe Whitthread,,https://www.youtube.com/@chloewhitthread,13500,unclear,no,,monthly,30,3,,,,,,below_min_subscribers
136,Shannon Spalding,,https://www.youtube.com/@shannonspaldingx,20400,unclear,no,,biweekly,1,5,,,,,,below_min_subscribers
137,Annalivia Hynds,,https://www.youtube.com/@annaliviahynds23,23400,unclear,no,,monthly,21,3,,,,,,below_min_subscribers
138,Leah's Life in Motion,Email in YouTube Bio,https://www.youtube.com/@leahblake03,55,solo,yes,,inactive,152,0,https://www.instagram.com/leahblake03/,,,,,below_min_subscribers
139,Emily Bull,Email in YouTube Bio,https://www.youtube.com/@EmilyBull,26800,solo,no,United Kingdom,weekly,14,10,https://www.instagram.com/eemilybull/,,,,,below_min_subscribers
140,Ami Charlize,,https://www.youtube.com/@AmiCharlizex,432000,unclear,yes,,weekly,8,13,,,,,,ok
141,Elle Swift,Email in YouTube Bio,https://www.youtube.com/@elleswift,585000,solo,no,United Kingdom,weekly,1,12,http://instagram.com/elleswift,,,,,off_niche
142,Aimee Stewart,Email in YouTube Bio,https://www.youtube.com/@AimeeStewart97,381,unclear,no,United Kingdom,monthly,30,2,,,,,,below_min_subscribers
143,Fiona J Coles,Email in YouTube Bio,https://www.youtube.com/@FionaJColes,3570,solo,no,United Kingdom,weekly,1,14,https://www.instagram.com/fionajanehome,,,,,below_min_subscribers
144,Hayleigh Twose,Email in YouTube Bio,https://www.youtube.com/@hayleightwose,79,unclear,no,,biweekly,1,8,,,,,,below_min_subscribers
145,Seany Boyy,,https://www.youtube.com/@YouTube-Seany_Boyy_,7320,solo,no,United Kingdom,sporadic,30,1,https://www.instagram.com/seany_boyy_/,,,,,below_min_subscribers
146,Spain Revealed,Email in YouTube Bio,https://www.youtube.com/@spainrevealed,320000,unclear,no,Spain,weekly,4,13,,,,,,wrong_country
147,Pakspan,Email in YouTube Bio,https://www.youtube.com/@thepakspan,30800,solo,no,Spain,weekly,1,13,https://instagram.com/thepakspan?igshid=YmMyMTA2M2Y=,,,,,below_min_subscribers
148,Wendall,Email in YouTube Bio,https://www.youtube.com/@WendallExplores,200000,solo,no,United Kingdom,biweekly,4,9,https://www.instagram.com/wendall.youtube,,,,,off_niche
149,Mix Flix,Email in YouTube Bio,https://www.youtube.com/@mixflix2874,371,unclear,no,United Kingdom,weekly,0,28,,,,,,below_min_subscribers
150,Evan the Wayfarer,Email in YouTube Bio,https://www.youtube.com/@EvantheWayfarer,1640,unclear,yes,United States,biweekly,2,7,,,,,,below_min_subscribers
151,TIM and FIN,Email in YouTube Bio,https://www.youtube.com/@timandfin,255000,solo,yes,United States,dormant,365,0,https://www.instagram.com/timandfin,,,,,cadence_dormant
152,Kriel Jan,Email in YouTube Bio,https://www.youtube.com/@KrielJan,65200,solo,no,Spain,weekly,0,30,http://www.instagram.com/krieljanig,,,,,below_min_subscribers
153,Tara Michelle,Email in YouTube Bio,https://www.youtube.com/@imtaramichelle,1290000,solo,no,United States,weekly,3,25,http://instagram.com/imtaramichelle,,,,,off_niche
154,Luke Davis,Email in YouTube Bio,https://www.youtube.com/@luke_davis,207000,unclear,no,,monthly,6,2,https://www.instagram.com/braedenalmas/,,,,,off_niche
