#,Display Name,Email,YT Channel,YT Subscribers,Type,Sells,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
37,Wayne Algenio,Email in YouTube Bio,https://www.youtube.com/@WayneAlgenio,74900,solo,,no,United States,weekly,1,26,http://instagram.com/wayneywonder29,,,,,ok
38,Emily English,Email in YouTube Bio,https://www.youtube.com/@emthenutritionist,72000,solo,,no,United Kingdom,biweekly,3,5,https://www.instagram.com/emthenutritionist,,,,,ok
39,Celine ♡,Email in YouTube Bio,https://www.youtube.com/@Celinelikedion,60700,solo,"membership, storefront, own site",no,Canada,weekly,7,10,http://instagram.com/celinelikedion,,,,,ok
40,Crystal Park,Email in YouTube Bio,https://www.youtube.com/@crystalpark,58800,solo,,no,,biweekly,2,6,https://www.instagram.com/crystalpaark/,,,,,ok
41,Anabolic Bodybuilding | Big Paul,Email in YouTube Bio,https://www.youtube.com/@anabolicbodybuilding,52400,solo,,no,United States,weekly,3,19,https://www.instagram.com/paulkbarnett/,,,,,ok
42,Nicky Lyan,Email in YouTube Bio,https://www.youtube.com/@NICKYLYAN,52300,solo,,no,United States,weekly,9,10,https://www.instagram.com/nicky.lyan/?hl=en,,,,,ok
43,Mark Coles,Email in YouTube Bio,https://www.youtube.com/@M10Fitness,50600,solo,,no,United Kingdom,weekly,3,18,https://www.instagram.com/markjcoles/,,,,,ok
44,Morgan Peterson,,https://www.youtube.com/@morgantpete,46300,solo,,no,,biweekly,13,9,https://www.instagram.com/morgantpete,,,,,ok
45,Elle Garenne,Email in YouTube Bio,https://www.youtube.com/@elle_garenne,42200,solo,,no,United States,weekly,1,13,https://www.instagram.com/elle_garenne,,,,,ok
46,OPEX Fitness,Email in YouTube Bio,https://www.youtube.com/@OPEXFitness,39500,solo,,no,United States,biweekly,4,6,https://www.instagram.com/coachrx.app/,,,,,ok
47,Buffalo 8 Movie Channel,Email in YouTube Bio,https://www.youtube.com/@buffalo8moviechannel,37000,solo,,no,United States,weekly,9,26,https://www.instagram.com/buffalo8pro/?hl=en,,,,,ok
48,Cass Spinelli,Email in YouTube Bio,https://www.youtube.com/@CassSpinelli,35000,solo,"storefront, own site",no,United States,biweekly,14,5,https://www.instagram.com/cass.spinelli,,,,,ok
49,nico🫶,,https://www.youtube.com/@nicosheri,34100,solo,,no,,monthly,30,2,,,,,,ok
50,Paul and Carole Love to Travel,Email in YouTube Bio,https://www.youtube.com/channel/UCpnRH1jL_EKoVv5VWoyiB0A,33900,solo,membership,yes,United Kingdom,weekly,3,19,https://www.instagram.com/paulandcarole/,,,,,ok
51,TayyLiz,,https://www.youtube.com/@TayyLiz,29300,solo,,no,United States,weekly,4,11,https://www.instagram.com/tayy_lizz?igsh=MTVvMHVvdzN5YWV2Yw==&utm_source=qr,,,,,ok
52,Brian Mark,Email in YouTube Bio,https://www.youtube.com/@therealbrianmark,28500,solo,,no,Canada,weekly,6,30,https://www.instagram.com/therealbrianmark/,,,,,ok
53,Jen Lauren,Email in YouTube Bio,https://www.youtube.com/@JenLauren,27900,solo,,no,United States,biweekly,1,8,https://www.instagram.com/jen_laurenn/,,,,,ok
54,Alyssa Perry,Email in YouTube Bio,https://www.youtube.com/@Nurse.alyssaperry,23400,solo,,no,,biweekly,1,7,https://www.instagram.com/alyssamjobes/?hl=en,,,,,ok
55,Riley Kristine,Email in YouTube Bio,https://www.youtube.com/@rileykristine,23300,solo,,no,,biweekly,1,9,https://www.instagram.com/rileykrist1ne?igsh=dHgzcjBsdTcyd3Ez&utm_source=qr,,,,,ok
56,Runs with Emily,Email in YouTube Bio,https://www.youtube.com/@Runswithemily,21000,solo,,no,United Kingdom,biweekly,4,7,https://www.instagram.com/runswithemily/,,,,,ok
