#,Display Name,Email,YT Channel,YT Subscribers,Type,Sells,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
36,Tone and Tighten,Email in YouTube Bio,https://www.youtube.com/@toneandtighten,3310000,solo,,no,United States,weekly,4,20,https://www.instagram.com/jaredbeckstranddpt/,,,,,ok
37,LeanBeefPatty,,https://www.youtube.com/@theleanbeefpatty,3030000,solo,,no,United States,weekly,1,14,https://www.instagram.com/leanbeefpatty,,,,,ok
38,JesssFam,Email in YouTube Bio,https://www.youtube.com/@JesssFam,2880000,solo,,no,United States,monthly,11,4,http://instagram.com/jesssfam,,,,,ok
39,Lucy Wyndham-Read,Email in YouTube Bio,https://www.youtube.com/@lucywyndhamread,2840000,solo,,no,United Kingdom,weekly,0,27,,,,,,ok
40,Juice & Toya,Email in YouTube Bio,https://www.youtube.com/@JuiceandToya,2620000,solo,own site,no,United States,biweekly,1,9,https://www.instagram.com/juiceandtoya/,,,,,ok
41,Doctor Mike Diamonds,Email in YouTube Bio,https://www.youtube.com/@DoctorMikeDiamonds,2420000,business,,no,United States,weekly,1,30,http://instagram.com/mikediamonds.md,,,,,ok
42,Alivia D'Andrea,Email in YouTube Bio,https://www.youtube.com/@aliviadandrea,2360000,solo,,no,United States,monthly,21,2,http://instagram.com/aliviadandrea/,,,,,ok
43,Rowan Row,Email in YouTube Bio,https://www.youtube.com/@RowanRow,2320000,solo,,no,United Kingdom,weekly,0,11,http://www.instagram.com/rowanrow,,,,,ok
44,Lidia Mera,,https://www.youtube.com/@lidiavmera,2320000,solo,,no,,weekly,1,17,https://www.instagram.com/lidiavmera/?hl=en,,,,,ok
45,SHAWSTRENGTH,Email in YouTube Bio,https://www.youtube.com/@SHAWSTRENGTH,2300000,solo,,no,,weekly,2,15,https://www.instagram.com/shawstrength/?hl=en,,,,,ok
46,Multi DO,,https://www.youtube.com/@multido1598,2290000,solo,,no,United States,weekly,0,30,,,,,,ok
47,HASfit,Email in YouTube Bio,https://www.youtube.com/@HASfit,2290000,solo,"store, app, own site",no,United States,weekly,0,19,https://www.instagram.com/hasfit_official/,,,,,ok
48,Fit Media Channel,Email in YouTube Bio,https://www.youtube.com/@FitMediaChannel,2069999,solo,,no,United Kingdom,biweekly,9,6,https://www.instagram.com/fitmediachannelofficial/,,,,,ok
49,Frank Medrano,Email in YouTube Bio,https://www.youtube.com/@frank_medrano,1830000,solo,,no,United States,weekly,21,10,http://www.instagram.com/frank_medrano,,,,,ok
50,CrossFit,,https://www.youtube.com/@crossfit,1790000,solo,,no,United States,weekly,0,25,https://www.instagram.com/crossfit/,,,,,ok
51,MrCreepyPasta,Email in YouTube Bio,https://www.youtube.com/@MrCreepyPasta,1720000,solo,membership,no,United States,weekly,1,26,,,,,,ok
52,Linda Sun,Email in YouTube Bio,https://www.youtube.com/@lindasunyt,1600000,solo,,yes,United States,monthly,10,4,https://www.instagram.com/lindasunyt/,,,,,ok
53,LenaLifts,Email in YouTube Bio,https://www.youtube.com/@lenalifts,1520000,solo,,no,United States,weekly,12,13,https://www.instagram.com/lenaliftsx/?hl=en,,,,,ok
54,Nick Bare,Email in YouTube Bio,https://www.youtube.com/@nickbarefitness,1520000,business,,no,United States,weekly,4,14,http://www.instagram.com/nickbarefitness,,,,,ok
55,Huberman Lab Clips,,https://www.youtube.com/@HubermanLabClips,1480000,solo,,no,United States,weekly,0,30,https://www.instagram.com/hubermanlab/,,,,,ok
56,Breanna Quan,Email in YouTube Bio,https://www.youtube.com/@BreannaQuan,1470000,solo,,no,Canada,biweekly,14,7,https://www.instagram.com/breannaquan.xo/?hl=en,,,,,ok
57,AustinMcConnell,Email in YouTube Bio,https://www.youtube.com/@austinmcconnell,1440000,business,membership,no,United States,monthly,2,3,,,,,,ok
58,fitbymik,Email in YouTube Bio,https://www.youtube.com/@fitbymik,1350000,solo,,yes,Canada,biweekly,0,7,https://www.instagram.com/fitbymik/?hl=en,,,,,ok
59,Tara Michelle,Email in YouTube Bio,https://www.youtube.com/@imtaramichelle,1290000,solo,,no,United States,weekly,2,25,http://instagram.com/imtaramichelle,,,,,ok
60,Brandon Carter,Email in YouTube Bio,https://www.youtube.com/@HighLifeWorkout,1270000,solo,,no,United States,weekly,4,30,http://instagram.com/KingKeto,,,,,ok
61,nourishmovelove,Email in YouTube Bio,https://www.youtube.com/@nourishmovelove,1200000,solo,,no,United States,weekly,4,17,https://www.instagram.com/nourishmovelove/,,,,,ok
62,Via Li,Email in YouTube Bio,https://www.youtube.com/@via.ilyouu,1170000,solo,,no,United States,biweekly,1,9,https://instagram.com/via.ilyou,,,,,ok
63,Katina Eats Kilos,,https://www.youtube.com/@KatinaEatsKilos,1170000,solo,,yes,United States,biweekly,1,7,https://www.instagram.com/katinaeatskilos,,,,,ok
64,Joel Hansen,Email in YouTube Bio,https://www.youtube.com/@JoelHansen,1170000,solo,,no,Canada,weekly,1,21,https://www.instagram.com/modelvsfood,,,,,ok
65,Jessica Valant,Email in YouTube Bio,https://www.youtube.com/@Jessicasvalant,1160000,solo,,no,United States,weekly,0,12,http://www.instagram.com/jessicasvalant,,,,,ok
66,Rosie Graham,Email in YouTube Bio,https://www.youtube.com/@RosieGraham444,1150000,solo,,no,,weekly,1,30,https://www.instagram.com/rosiegraham_/,,,,,ok
67,Ally Purugganan,Email in YouTube Bio,https://www.youtube.com/@allyduhrey,1110000,solo,,no,,biweekly,7,7,https://www.instagram.com/allyysophia/,,,,,ok
68,Global Triathlon Network,Email in YouTube Bio,https://www.youtube.com/@gtn,1100000,solo,,no,United Kingdom,weekly,1,30,http://instagram.com/globaltriathlonnetwork,,,,,ok
69,annika's leaf,Email in YouTube Bio,https://www.youtube.com/@annikasleaf,1080000,solo,"storefront, own site",no,United States,biweekly,21,7,https://www.instagram.com/annikasleaf/,,,,,ok
70,Emily Paulichi,Email in YouTube Bio,https://www.youtube.com/@emilypaulichi,1040000,solo,,no,United States,biweekly,3,9,,,,,,ok
71,Rogue Fitness,,https://www.youtube.com/@roguefitness,1020000,solo,,no,,weekly,3,25,http://instagram.com/roguefitness,,,,,ok
