#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
16,Travel Tips by Laurie,Email in YouTube Bio,https://www.youtube.com/@TravelTipsbyLaurie,445000,unclear,yes,United States,weekly,1,14,,,,,,ok
17,Emma Cruises,Email in YouTube Bio,https://www.youtube.com/@EmmaCruises,433000,solo,yes,United Kingdom,biweekly,0,9,,,,,,ok
18,Ami Charlize,,https://www.youtube.com/@AmiCharlizex,432000,unclear,yes,,weekly,8,13,,,,,,ok
19,Suitcase Monkey,,https://www.youtube.com/@SuitcaseMonkey,394000,solo,yes,United Kingdom,monthly,14,3,https://www.instagram.com/suitcasemonkey/,,,,,ok
20,SteveMarsh,,https://www.youtube.com/@steve-marsh,391000,solo,yes,United Kingdom,weekly,2,22,https://www.instagram.com/stevemarsh_youtube/,,,,,ok
21,Mammoth Club,,https://www.youtube.com/@Mammoth_Club,307000,unclear,yes,United States,weekly,1,30,,,,,,ok
22,Adventures of A+K,Email in YouTube Bio,https://www.youtube.com/@AdventuresofAplusK,297000,solo,yes,United States,biweekly,8,5,https://www.instagram.com/adventuresofaplusk/,,,,,ok
23,Michel Janse,Email in YouTube Bio,https://www.youtube.com/@MichelJanse,282000,solo,yes,United States,weekly,2,24,https://www.instagram.com/michel.c.janse,,,,,ok
24,Joey Miuccio,,https://www.youtube.com/@Joeymiuccio,222000,solo,yes,,weekly,10,10,,,,,,ok
25,Dots on a Map,Email in YouTube Bio,https://www.youtube.com/@DotsonaMap,215000,solo,yes,United States,monthly,12,4,https://www.instagram.com/dotsonamap,,,,,ok
26,The Uncharted Family,Email in YouTube Bio,https://www.youtube.com/@TheUnchartedFamily,209000,unclear,yes,,biweekly,14,8,,,,,,ok
27,EECC Travels,Email in YouTube Bio,https://www.youtube.com/@EECCTravels,205000,solo,yes,United States,weekly,1,19,https://www.instagram.com/eecctravels/,,,,,ok
28,The Hutchinsons,Email in YouTube Bio,https://www.youtube.com/@TheHutchinsons,193000,solo,yes,United Kingdom,biweekly,21,5,https://www.instagram.com/thehutchinsonfamily/,,,,,ok
29,Exotic Vacation,Email in YouTube Bio,https://www.youtube.com/@ExoticVacation,183000,unclear,yes,United States,weekly,1,22,,,,,,ok
30,Family Freedom,Email in YouTube Bio,https://www.youtube.com/@FamilyFreedom,179000,solo,yes,United Kingdom,weekly,1,30,https://www.instagram.com/familyfreedomvlogs/,,,,,ok
31,Mark Wiemels,Email in YouTube Bio,https://www.youtube.com/@markwiemels,169000,solo,yes,United States,weekly,5,11,https://www.instagram.com/markwiemels/,,,,,ok
