#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
37,The Sanbrooke Adventures,Email in YouTube Bio,https://www.youtube.com/@TheSanbrookeAdventures,136000,solo,yes,United Kingdom,weekly,2,22,https://www.instagram.com/thesanbrookeadventureschannel/,,,,,ok
38,Griff & Alyssa,Email in YouTube Bio,https://www.youtube.com/@GriffandAlyssa,129000,solo,yes,United States,weekly,6,12,https://instagram.com/griffandalyssa,,,,,ok
39,Coolist,Email in YouTube Bio,https://www.youtube.com/@Coolist,128000,solo,yes,United States,biweekly,9,5,https://instagram.com/james.coolist,,,,,ok
40,Jordan Bauth,Email in YouTube Bio,https://www.youtube.com/@jbauth,126000,solo,yes,United States,weekly,0,27,http://www.instagram.com/jbauth,,,,,ok
41,Wout of the World,Email in YouTube Bio,https://www.youtube.com/@WoutoftheWorld,120000,solo,yes,Netherlands,weekly,6,15,https://www.instagram.com/woutoftheworld,,,,,ok
42,GoTime Travels,Email in YouTube Bio,https://www.youtube.com/@GoTimeTravels,116000,solo,yes,Ireland,weekly,0,12,https://www.instagram.com/gotimetravels/,,,,,ok
43,The Frugal Brit - Orlando,Email in YouTube Bio,https://www.youtube.com/@TheFrugalBrit,114000,solo,yes,United Kingdom,biweekly,6,5,"https://www.instagram.com/Hello everyone! In addition to creating a new vlog channel, I thought I’d also create an Instagram account so that I can give updates even quicker. Here’s the link if anyone’s interested:

instagram.com/jayjackorlando/

I’ll hopefully be setting up the vlog channel in the next few weeks. Really pleased with the response to the last post, thank you!! 😁",,,,,ok
44,Rebecca Hobson,Email in YouTube Bio,https://www.youtube.com/@mrsrebeccahobson,111000,solo,yes,United Kingdom,monthly,30,3,https://www.instagram.com/mrsrebeccahobson,,,,,ok
45,Ivan de Guzman,Email in YouTube Bio,https://www.youtube.com/@ivandeguzman,110000,solo,yes,Philippines,weekly,0,30,https://instagram.com/paulivandg,,,,,ok
46,Cal,Email in YouTube Bio,https://www.youtube.com/@thebangkokguide,107000,solo,yes,Canada,weekly,3,24,https://www.instagram.com/ajarncal/,,,,,ok
47,Ritzy Travel Guide,Email in YouTube Bio,https://www.youtube.com/@ritzytravelguide,103000,solo,yes,United Kingdom,biweekly,0,7,https://www.instagram.com/ritzytravelguide,,,,,ok
48,The Lovers Passport,Email in YouTube Bio,https://www.youtube.com/@TheLoversPassport,102000,solo,yes,United States,weekly,6,12,https://www.instagram.com/theloverspassport,,,,,ok
