#,Display Name,Email,YT Channel,YT Subscribers,Type,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status,Segment
1,LifeWithUsTV,Email in YouTube Bio,https://www.youtube.com/@LifeWithUsTV,161000,business,yes,United States,weekly,12,13,https://instagram.com/codefuntravels,,,,,ok,A creator-operator
2,Byte Size Cruises,Email in YouTube Bio,https://www.youtube.com/@ByteSizeCruises,43300,business,yes,United States,weekly,0,30,https://instagram.com/bytesizecruises,,,,,ok,A creator-operator
3,Addicted to the Mouse,Email in YouTube Bio,https://www.youtube.com/@AddictedtotheMouse,26700,business,yes,United States,weekly,0,26,https://www.instagram.com/addictedtothemouse/,,,,,ok,A creator-operator
4,Honeymoon Always,Email in YouTube Bio,https://www.youtube.com/@HoneymoonAlways,17300,business,yes,,biweekly,30,5,https://www.instagram.com/honeymoonalways/,,,,,ok,A creator-operator
5,Where's Walter Travel,Email in YouTube Bio,https://www.youtube.com/@WheresWalterTravel,8320,business,yes,United States,monthly,30,4,https://www.instagram.com/whereswaltertravel/,,,,,ok,A creator-operator
6,The Wanderlust Jetsetter,Email in YouTube Bio,https://www.youtube.com/@thewanderlustjetsetter9342,3490,business,yes,United States,biweekly,0,9,https://www.instagram.com/thewanderlustjetsetter,,,,,ok,A creator-operator
7,Samantha Hammond,Email in YouTube Bio,https://www.youtube.com/@iamsamanthahammond,3100,business,yes,,biweekly,30,5,,,,,,ok,A creator-operator
8,Scenic Views Travel,Email in YouTube Bio,https://www.youtube.com/@scenicviewstravelgal,2870,business,yes,United States,weekly,0,13,https://www.instagram.com/scenicviewstravel/,,,,,ok,A creator-operator
9,Cyndi Williams,Email in YouTube Bio,https://www.youtube.com/@wanderlustceo,74400,business,yes,United States,weekly,3,12,https://www.instagram.com/wanderlustceo/,,,,,ok,B company / B2B
10,KHM Travel Group,Email in YouTube Bio,https://www.youtube.com/@KHMTravelGroup,15800,business,yes,United States,biweekly,21,6,https://www.instagram.com/khmtravel/,,,,,ok,B company / B2B
11,Travel Professional NEWS,,https://www.youtube.com/@TomOgg,10300,business,yes,United States,weekly,3,26,,,,,,ok,B company / B2B
12,Fora,,https://www.youtube.com/@hellofora,8980,business,yes,United States,biweekly,21,7,https://www.instagram.com/foratravel,,,,,ok,B company / B2B
13,Travel Agent Haven,Email in YouTube Bio,https://www.youtube.com/@travelagenthaven,7250,business,yes,United States,monthly,13,3,https://www.instagram.com/travelagenthaven/,,,,,ok,B company / B2B
14,Only Provence,Email in YouTube Bio,https://www.youtube.com/@OnlyProvence,3840,business,yes,,biweekly,21,8,https://www.instagram.com/only.provence/,,,,,ok,B company / B2B
15,Cruise Specialists,Email in YouTube Bio,https://www.youtube.com/@CruiseSpecialists,3130,business,yes,United States,monthly,30,3,,,,,,ok,B company / B2B
16,DFBGuide,Email in YouTube Bio,https://www.youtube.com/@DFBGuide,1140000,business,yes,United States,weekly,0,30,http://instagram.com/disneyfoodblog,,,,,ok,C not selling travel
17,Prowalk Tours,Email in YouTube Bio,https://www.youtube.com/@ProwalkTours,766000,business,yes,United States,weekly,1,10,https://www.instagram.com/ProwalkTours/,,,,,ok,C not selling travel
18,Destination Well Known,Email in YouTube Bio,https://www.youtube.com/@destinationwellknown,85800,business,yes,,biweekly,3,6,https://www.instagram.com/destination_wellknown/,,,,,ok,C unverified
19,A Couple Travelers,Email in YouTube Bio,https://www.youtube.com/@ACoupleTravelers,13800,business,yes,United States,monthly,4,4,https://www.instagram.com/a.couple.travelers/?hl=en,,,,,ok,C unverified
20,Fudge Factor,Email in YouTube Bio,https://www.youtube.com/@fudge_factor,13500,business,yes,United States,weekly,1,15,https://www.instagram.com/fudge_factor/,,,,,ok,C unverified
21,Travelpreneur Dreams With Tyra | A Host Agency,Email in YouTube Bio,https://www.youtube.com/@TravelpreneurDreamsWithTyra,7640,business,yes,United States,weekly,2,10,,,,,,ok,C unverified
